Run,K,Threshold,Precision,Recall,Accuracy,Epsilon,BlockSize
0,5,0,0.0,0.0,0.5,1.0,1
0,5,1,0.0,0.0,0.5,1.0,1
0,5,2,0.0,0.0,0.5,1.0,1
0,5,3,0.0,0.0,0.5,1.0,1
0,5,4,0.0,0.0,0.5,1.0,1
0,5,5,0.0,0.0,0.5,1.0,1
0,5,6,0.0,0.0,0.5,1.0,1
0,5,7,0.0,0.0,0.5,1.0,1
0,5,8,0.0,0.0,0.5,1.0,1
0,5,9,0.0,0.0,0.4,1.0,1
0,5,10,0.0,0.0,0.4,1.0,1
0,10,0,0.0,0.0,0.5,1.0,1
0,10,1,0.0,0.0,0.5,1.0,1
0,10,2,0.0,0.0,0.5,1.0,1
0,10,3,0.0,0.0,0.5,1.0,1
0,10,4,0.0,0.0,0.5,1.0,1
0,10,5,0.0,0.0,0.5,1.0,1
0,10,6,0.0,0.0,0.5,1.0,1
0,10,7,0.0,0.0,0.5,1.0,1
0,10,8,0.0,0.0,0.5,1.0,1
0,10,9,0.0,0.0,0.5,1.0,1
0,10,10,0.0,0.0,0.5,1.0,1
1,5,0,0.0,0.0,0.5,1.0,1
1,5,1,0.0,0.0,0.5,1.0,1
1,5,2,0.0,0.0,0.5,1.0,1
1,5,3,0.0,0.0,0.5,1.0,1
1,5,4,0.0,0.0,0.5,1.0,1
1,5,5,0.0,0.0,0.5,1.0,1
1,5,6,0.0,0.0,0.5,1.0,1
1,5,7,0.0,0.0,0.5,1.0,1
1,5,8,0.0,0.0,0.5,1.0,1
1,5,9,0.0,0.0,0.5,1.0,1
1,5,10,0.0,0.0,0.5,1.0,1
1,10,0,0.0,0.0,0.5,1.0,1
1,10,1,0.0,0.0,0.5,1.0,1
1,10,2,0.0,0.0,0.5,1.0,1
1,10,3,0.0,0.0,0.5,1.0,1
1,10,4,0.0,0.0,0.5,1.0,1
1,10,5,0.0,0.0,0.5,1.0,1
1,10,6,0.0,0.0,0.5,1.0,1
1,10,7,0.0,0.0,0.5,1.0,1
1,10,8,0.0,0.0,0.5,1.0,1
1,10,9,0.0,0.0,0.5,1.0,1
1,10,10,0.0,0.0,0.5,1.0,1
2,5,0,0.0,0.0,0.5,1.0,1
2,5,1,0.0,0.0,0.5,1.0,1
2,5,2,0.0,0.0,0.5,1.0,1
2,5,3,0.0,0.0,0.5,1.0,1
2,5,4,0.0,0.0,0.5,1.0,1
2,5,5,0.0,0.0,0.5,1.0,1
2,5,6,0.0,0.0,0.5,1.0,1
2,5,7,0.0,0.0,0.5,1.0,1
2,5,8,0.0,0.0,0.5,1.0,1
2,5,9,0.0,0.0,0.5,1.0,1
2,5,10,0.0,0.0,0.5,1.0,1
2,10,0,0.0,0.0,0.5,1.0,1
2,10,1,0.0,0.0,0.5,1.0,1
2,10,2,0.0,0.0,0.5,1.0,1
2,10,3,0.0,0.0,0.5,1.0,1
