Epsilon,blockSize,maxErr,L1,KL,AverageProfileDistance
1.0,1,0.401063829787234,1.9755979968368254,1.2999999999999998,1792.969696969697
1.0,2,0.3989361702127659,1.8112729645563395,1.2787234042553188,1693.4848484848485
1.0,5,0.3989361702127659,1.8491289263652322,1.2808510638297872,1675.5151515151515
1.0,10,0.39999999999999997,1.9160539214562133,1.2914893617021277,1731.121212121212
5.0,1,0.3808510638297872,1.3860613165708497,1.2170212765957444,1598.8484848484848
5.0,2,0.37765957446808507,1.2418276254675773,1.151063829787234,1509.8181818181818
5.0,5,0.3893617021276595,1.3755345692070298,1.1297872340425532,1290.5757575757575
5.0,10,0.37765957446808507,1.153750211287864,0.980851063829787,1002.060606060606
10.0,1,0.21702127659574463,0.4043850575231917,0.7042553191489361,878.9090909090909
10.0,2,0.2436170212765957,0.47938608445260394,0.7617021276595743,568.1515151515151
10.0,5,0.33829787234042547,0.7604605645256721,0.8617021276595743,291.90909090909093
10.0,10,0.3478723404255319,0.8032110039700003,0.902127659574468,257.6666666666667
20.0,1,0.005319148936170193,0.011037142178277701,0.02340425531914892,16.060606060606062
20.0,2,0.2212765957446808,0.37133426131929737,0.5829787234042553,18.21212121212121
20.0,5,0.3053191489361702,0.691375106614198,0.7936170212765957,50.666666666666664
20.0,10,0.3585106382978723,0.9227082528518805,0.8914893617021277,110.36363636363636
1.0,1,0.40638297872340423,2.548690588173282,1.3744680851063829,1808.4545454545455
1.0,2,0.39999999999999997,1.9268932019527076,1.3085106382978722,1730.3939393939395
1.0,5,0.3989361702127659,1.8818076770282801,1.3127659574468082,1738.2121212121212
1.0,10,0.40212765957446805,2.026347537072985,1.3148936170212764,1844.4848484848485
5.0,1,0.3744680851063829,1.280355857172019,1.2085106382978723,1586.4242424242425
5.0,2,0.3787234042553191,1.33261051041833,1.2085106382978723,1544.7878787878788
5.0,5,0.3691489361702127,1.1046268430096209,1.106382978723404,1312.0
5.0,10,0.376595744680851,1.0863955793893272,1.0255319148936168,1036.090909090909
10.0,1,0.19999999999999996,0.41912227999951496,0.7106382978723403,900.8484848484849
10.0,2,0.27021276595744675,0.5368248469083489,0.8063829787234043,585.1818181818181
10.0,5,0.3244680851063829,0.7366580204536949,0.8723404255319148,344.57575757575756
10.0,10,0.34042553191489355,0.7279460249583967,0.8723404255319149,240.96969696969697
20.0,1,0.0010638297872340428,0.008355700713316632,0.010638297872340403,5.545454545454546
20.0,2,0.19787234042553187,0.3619059089133815,0.5446808510638298,15.848484848484848
20.0,5,0.31808510638297866,0.681115644945315,0.8106382978723404,53.03030303030303
20.0,10,0.3457446808510638,0.8299839193210106,0.8744680851063829,103.6969696969697
1.0,1,0.3978723404255319,1.8527546443453558,1.3148936170212766,1709.7272727272727
1.0,2,0.40212765957446805,2.1106082396377106,1.34468085106383,1914.1515151515152
1.0,5,0.40425531914893614,2.180708030714438,1.2787234042553193,1623.0
1.0,10,0.40319148936170207,2.094771781080871,1.3170212765957445,1645.2424242424242
5.0,1,0.376595744680851,1.3890449212212896,1.2340425531914894,1650.1515151515152
5.0,2,0.3723404255319148,1.2903749440653614,1.2361702127659575,1577.3333333333333
5.0,5,0.375531914893617,1.1942734151463745,1.127659574468085,1218.7878787878788
5.0,10,0.3808510638297872,1.1408166759745708,0.9723404255319147,1053.8484848484848
10.0,1,0.1808510638297872,0.36442015529625527,0.6446808510638298,819.969696969697
10.0,2,0.26489361702127656,0.5307449394546242,0.7851063829787233,555.2424242424242
10.0,5,0.3287234042553191,0.742633619520048,0.8404255319148937,336.06060606060606
10.0,10,0.352127659574468,0.8570727303622749,0.9340425531914891,252.6060606060606
20.0,1,0.003191489361702129,0.01050735242894006,0.014893617021276602,13.454545454545455
20.0,2,0.19680851063829782,0.38399937368021714,0.6191489361702127,15.818181818181818
20.0,5,0.29999999999999993,0.6671850416119689,0.7914893617021275,50.36363636363637
20.0,10,0.35,0.818761169107522,0.8851063829787231,107.72727272727273
1.0,1,0.3957446808510638,1.7834665513481962,1.3361702127659572,1715.909090909091
1.0,2,0.3978723404255319,1.84420261786904,1.3191489361702127,1721.6666666666667
1.0,5,0.3978723404255319,1.7529526289081367,1.2553191489361701,1548.7272727272727
1.0,10,0.3989361702127659,1.9292088332784096,1.274468085106383,1678.3939393939395
5.0,1,0.3702127659574468,1.2890869627297084,1.2425531914893617,1644.909090909091
5.0,2,0.3702127659574468,1.2273941302453295,1.2042553191489362,1516.8181818181818
5.0,5,0.37978723404255316,1.2336011966455815,1.1319148936170214,1319.7575757575758
5.0,10,0.3734042553191489,1.0824259427918128,1.0234042553191487,1077.939393939394
10.0,1,0.20425531914893613,0.3840546589023993,0.6553191489361703,856.4848484848485
10.0,2,0.25531914893617014,0.4964802981424004,0.7489361702127658,549.6060606060606
10.0,5,0.34468085106382973,0.7883209395532601,0.9148936170212765,345.27272727272725
10.0,10,0.35531914893617017,0.815672128252311,0.8744680851063829,264.90909090909093
20.0,1,0.004255319148936176,0.009903523035886316,0.010638297872340434,6.424242424242424
20.0,2,0.19574468085106378,0.35373356282302226,0.5702127659574469,22.03030303030303
20.0,5,0.3234042553191489,0.7778003603721134,0.8680851063829785,48.42424242424242
20.0,10,0.3563829787234042,0.8808315545648744,0.9148936170212765,107.54545454545455
1.0,1,0.3968085106382978,1.7850285691188097,1.2936170212765956,1677.2424242424242
1.0,2,0.3968085106382978,1.7790033005855017,1.2999999999999998,1667.878787878788
1.0,5,0.40319148936170207,2.064417032329912,1.2936170212765956,1658.969696969697
1.0,10,0.3978723404255319,1.8249814162436189,1.2872340425531914,1688.5757575757575
5.0,1,0.36808510638297864,1.1854928548541066,1.1595744680851063,1576.6363636363637
5.0,2,0.38297872340425526,1.378282960706463,1.2085106382978723,1513.090909090909
5.0,5,0.376595744680851,1.271972941061984,1.182978723404255,1280.2424242424242
5.0,10,0.376595744680851,1.058085669192483,0.9659574468085104,995.7272727272727
10.0,1,0.19787234042553187,0.38487468897126037,0.6659574468085107,838.3030303030303
10.0,2,0.24787234042553186,0.47009247431069484,0.7297872340425531,543.2727272727273
10.0,5,0.3329787234042553,0.8000143511877312,0.8893617021276594,333.6060606060606
10.0,10,0.3638297872340425,0.8666333215095254,0.8999999999999999,242.84848484848484
20.0,1,0.002127659574468088,0.011723813339749844,0.01063829787234043,12.606060606060606
20.0,2,0.22446808510638294,0.4014554175505498,0.6021276595744681,20.424242424242426
20.0,5,0.32021276595744674,0.7580483219865354,0.827659574468085,53.75757575757576
20.0,10,0.36170212765957444,0.9372703645944861,0.9148936170212767,114.72727272727273
1.0,1,0.3989361702127659,1.8835627055120139,1.2936170212765956,1589.878787878788
1.0,2,0.3968085106382978,1.8158721268669482,1.302127659574468,1665.8181818181818
1.0,5,0.39999999999999997,2.010555495150108,1.3404255319148937,1744.3333333333333
1.0,10,0.40638297872340423,2.4312874173205774,1.2872340425531914,1749.6969696969697
5.0,1,0.37765957446808507,1.3318587252688152,1.2276595744680852,1601.1818181818182
5.0,2,0.37765957446808507,1.3720216991454273,1.2234042553191489,1537.1818181818182
5.0,5,0.36276595744680845,1.1147534765885112,1.1425531914893614,1308.8181818181818
5.0,10,0.3861702127659574,1.1744171482962078,0.9617021276595745,1023.0
10.0,1,0.21276595744680846,0.44957628541041633,0.7085106382978722,894.7878787878788
10.0,2,0.276595744680851,0.5555980065392055,0.7808510638297872,589.3333333333334
10.0,5,0.33936170212765954,0.806752340565362,0.8957446808510638,244.84848484848484
10.0,10,0.352127659574468,0.9110946971648283,0.929787234042553,251.42424242424244
20.0,1,0.006382978723404209,0.01694931226042689,0.029787234042553144,31.606060606060606
20.0,2,0.19255319148936165,0.3684539964677543,0.5638297872340425,15.818181818181818
20.0,5,0.32978723404255317,0.7270991787203598,0.8382978723404255,48.75757575757576
20.0,10,0.352127659574468,0.830030211053179,0.876595744680851,110.6969696969697
1.0,1,0.40212765957446805,2.0908439828748655,1.351063829787234,1806.4848484848485
1.0,2,0.3936170212765957,1.6657134485185834,1.2829787234042553,1735.4545454545455
1.0,5,0.3968085106382978,1.768587028047978,1.2702127659574467,1722.6060606060605
1.0,10,0.3936170212765957,1.6471292112747953,1.248936170212766,1620.3939393939395
5.0,1,0.376595744680851,1.3357311335550963,1.2340425531914891,1604.030303030303
5.0,2,0.3808510638297872,1.3591682253589759,1.202127659574468,1463.0
5.0,5,0.38191489361702124,1.2784078690539493,1.1382978723404253,1294.090909090909
5.0,10,0.38191489361702124,1.1610224721952591,1.0234042553191487,1017.030303030303
10.0,1,0.20638297872340422,0.41705758517446756,0.676595744680851,880.6060606060606
10.0,2,0.2585106382978723,0.4750403441171961,0.7319148936170212,566.3333333333334
10.0,5,0.3319148936170212,0.7150268822540538,0.8808510638297872,339.3636363636364
10.0,10,0.3468085106382978,0.6927841048601266,0.8361702127659574,253.6969696969697
20.0,1,0.0010638297872340426,0.009073525093107167,0.0106382978723404,3.606060606060606
20.0,2,0.1787234042553191,0.3084245321417455,0.5148936170212766,14.848484848484848
20.0,5,0.31808510638297866,0.656271229664337,0.8234042553191488,58.24242424242424
20.0,10,0.3436170212765957,0.8542896156807485,0.8893617021276594,107.42424242424242
1.0,1,0.401063829787234,1.9880390747733467,1.329787234042553,1830.6363636363637
1.0,2,0.40319148936170207,2.1932044811008873,1.353191489361702,1815.7878787878788
1.0,5,0.3978723404255319,1.8135627468069457,1.3,1740.7878787878788
1.0,10,0.40319148936170207,2.054586814160742,1.2829787234042551,1759.0
5.0,1,0.37765957446808507,1.3913263692654354,1.2574468085106383,1688.7878787878788
5.0,2,0.3808510638297872,1.3296601889837436,1.1936170212765955,1550.3333333333333
5.0,5,0.3808510638297872,1.2687646656459712,1.1425531914893616,1312.8484848484848
5.0,10,0.38404255319148933,1.2116806193648724,1.031914893617021,1074.5454545454545
10.0,1,0.20851063829787228,0.40096488209042164,0.6851063829787234,871.1515151515151
10.0,2,0.2531914893617021,0.4489477077868853,0.6957446808510639,483.030303030303
10.0,5,0.3308510638297872,0.7590501049250017,0.8999999999999999,331.24242424242425
10.0,10,0.35744680851063826,0.8339638886041694,0.9234042553191488,261.1818181818182
20.0,1,0.005319148936170193,0.009567773125588932,0.01702127659574466,8.606060606060606
20.0,2,0.19574468085106378,0.3615399297003937,0.5659574468085106,15.757575757575758
20.0,5,0.32021276595744674,0.7362127276421088,0.8468085106382978,50.696969696969695
20.0,10,0.352127659574468,0.8801502191859997,0.8999999999999998,102.63636363636364
1.0,1,0.401063829787234,1.9202255027879784,1.2893617021276593,1709.060606060606
1.0,2,0.401063829787234,1.9572226763832203,1.2936170212765956,1670.3636363636363
1.0,5,0.401063829787234,1.9554668275796827,1.2893617021276593,1781.0
1.0,10,0.40212765957446805,1.9694492080272008,1.248936170212766,1688.2424242424242
5.0,1,0.3702127659574468,1.2661523737195841,1.2212765957446807,1620.6969696969697
5.0,2,0.38723404255319144,1.4230121516908854,1.1702127659574466,1497.5151515151515
5.0,5,0.375531914893617,1.1497503677880956,1.0936170212765957,1246.090909090909
5.0,10,0.3808510638297872,1.1416790899142362,0.9808510638297873,1060.3333333333333
10.0,1,0.19574468085106378,0.404322700771495,0.6936170212765957,880.9090909090909
10.0,2,0.2659574468085106,0.5447395171820612,0.7723404255319148,600.1212121212121
10.0,5,0.33936170212765954,0.7430510659385748,0.8659574468085104,351.57575757575756
10.0,10,0.3489361702127659,0.7254917649024027,0.8617021276595744,238.15151515151516
20.0,1,0.004255319148936176,0.008110265967220393,0.012765957446808519,8.515151515151516
20.0,2,0.18404255319148932,0.32303709261099867,0.5702127659574469,21.333333333333332
20.0,5,0.3191489361702127,0.7297108350760529,0.8510638297872342,55.39393939393939
20.0,10,0.36063829787234036,0.8739005224108418,0.9170212765957445,103.0
1.0,1,0.39999999999999997,1.9647209908070398,1.3489361702127658,1794.2727272727273
1.0,2,0.3989361702127659,1.8225171625486827,1.2510638297872338,1522.6666666666667
1.0,5,0.39999999999999997,1.9292943207964837,1.2914893617021277,1675.6060606060605
1.0,10,0.401063829787234,1.895900466016628,1.2468085106382978,1677.1818181818182
5.0,1,0.3659574468085106,1.1727480734959672,1.1872340425531915,1546.969696969697
